iter	Passed	Remaining
582	7273	17677
583	7281	17656
584	7291	17635
585	7298	17610
586	7310	17598
587	7324	17589
588	7338	17580
589	7349	17563
590	7357	17540
591	7366	17519
592	7374	17498
593	7381	17472
594	7390	17451
595	7404	17442
596	7418	17434
597	7432	17425
598	7446	17416
599	7455	17396
600	7469	17386
601	7479	17369
602	7493	17359
603	7503	17341
604	7516	17332
605	7531	17324
606	7546	17317
607	7560	17309
608	7574	17299
609	7583	17279
610	7596	17268
611	7610	17260
612	7624	17251
613	7639	17243
614	7648	17225
615	7656	17201
616	7664	17179
617	7675	17164
618	7684	17143
619	7695	17128
620	7706	17113
621	7721	17105
622	7729	17085
623	7738	17063
624	7745	17039
625	7751	17014
626	7760	16994
627	7768	16972
628	7774	16945
629	7780	16918
630	7786	16892
631	7793	16869
632	7801	16847
633	7807	16822
634	7814	16797
635	7821	16775
636	7834	16762
637	7847	16753
638	7862	16746
639	7869	16723
640	7880	16708
641	7895	16700
642	7910	16694
643	7924	16686
644	7939	16679
645	7954	16671
646	7967	16662
647	7977	16644
648	7986	16625
649	8000	16616
650	8009	16597
651	8023	16588
652	8037	16580
653	8051	16569
654	8065	16562
655	8080	16555
656	8088	16534
657	8102	16524
658	8116	16516
659	8130	16506
660	8145	16500
661	8156	16485
662	8163	16463
663	8174	16448
664	8184	16430
665	8197	16420
666	8211	16411
667	8226	16403
668	8241	16395
669	8255	16387
670	8268	16376
671	8278	16360
672	8288	16342
673	8301	16332
674	8315	16323
675	8324	16304
676	8335	16289
677	8349	16279
678	8356	16258
679	8365	16238
680	8372	16216
681	8379	16193
682	8386	16171
683	8394	16151
684	8403	16131
685	8409	16107
686	8415	16083
687	8429	16074
688	8443	16066
689	8458	16059
690	8473	16051
691	8483	16034
692	8496	16024
693	8510	16014
694	8524	16005
695	8538	15998
696	8553	15989
697	8568	15982
698	8577	15965
699	8588	15949
700	8600	15938
701	8615	15929
702	8624	15911
703	8638	15902
704	8652	15894
705	8666	15883
706	8680	15875
707	8691	15860
708	8703	15847
709	8718	15840
710	8732	15830
711	8745	15821
712	8759	15811
713	8773	15801
714	8784	15787
715	8793	15768
716	8800	15748
717	8813	15736
718	8827	15726
719	8841	15718
720	8856	15710
721	8870	15701
722	8883	15691
723	8893	15674
724	8906	15663
725	8920	15654
726	8934	15645
727	8948	15636
728	8962	15625
729	8972	15609
730	8980	15590
731	8988	15570
732	8996	15550
733	9010	15541
734	9020	15524
735	9027	15503
736	9035	15483
737	9048	15473
738	9063	15464
739	9077	15455
740	9089	15443
741	9098	15425
742	9111	15415
743	9126	15407
744	9140	15398
745	9155	15390
746	9169	15381
747	9184	15372
748	9193	15355
749	9206	15344
750	9217	15330
751	9224	15309
752	9236	15296
753	9250	15287
754	9262	15273
755	9272	15257
756	9285	15246
757	9293	15227
758	9303	15211
759	9317	15202
760	9327	15186
761	9337	15169
762	9350	15158
763	9364	15149
764	9378	15140
765	9390	15127
766	9399	15110
767	9413	15100
768	9427	15091
769	9441	15081
770	9454	15071
771	9469	15062
772	9483	15053
773	9493	15037
774	9507	15027
775	9513	15006
776	9524	14992
777	9539	14983
778	9553	14974
779	9568	14965
780	9582	14956
781	9593	14941
782	9603	14926
783	9611	14907
784	9619	14888
785	9633	14879
786	9648	14871
787	9663	14863
788	9677	14854
789	9692	14845
790	9699	14825
791	9713	14815
792	9727	14805
793	9741	14795
794	9754	14785
795	9768	14776
796	9778	14760
797	9791	14749
798	9801	14732
799	9811	14716
800	9822	14703
801	9835	14692
802	9850	14683
803	9864	14674
804	9879	14666
805	9889	14650
806	9897	14632
807	9911	14622
808	9921	14606
809	9935	14596
810	9950	14588
811	9964	14579
812	9979	14569
813	9993	14560
814	10007	14550
815	10016	14534
816	10030	14523
817	10045	14515
818	10059	14506
819	10073	14496
820	10088	14487
821	10097	14471
822	10110	14458
823	10125	14450
824	10138	14440
825	10153	14431
826	10163	14415
827	10174	14401
828	10181	14381
829	10189	14364
830	10199	14347
831	10207	14329
832	10220	14319
833	10231	14304
834	10245	14294
835	10254	14277
836	10265	14263
837	10277	14251
838	10287	14235
839	10297	14219
840	10310	14208
841	10323	14198
842	10333	14182
843	10340	14163
844	10348	14144
845	10362	14134
846	10376	14125
847	10390	14115
848	10399	14098
849	10411	14085
850	10421	14070
851	10429	14052
852	10438	14036
853	10451	14024
854	10460	14008
855	10467	13989
856	10476	13972
857	10490	13962
858	10499	13946
859	10508	13929
860	10520	13917
861	10534	13908
862	10549	13899
863	10563	13889
864	10578	13879
865	10587	13864
866	10598	13850
867	10611	13839
868	10620	13823
869	10632	13809
870	10644	13798
871	10653	13781
872	10665	13768
873	10680	13759
874	10693	13749
875	10701	13731
876	10709	13713
877	10721	13701
878	10734	13690
879	10744	13674
880	10752	13657
881	10761	13641
882	10772	13627
883	10785	13615
884	10796	13602
885	10805	13586
886	10813	13569
887	10823	13553
888	10833	13538
889	10840	13520
890	10852	13507
891	10867	13498
892	10881	13489
893	10895	13479
894	10905	13463
895	10916	13450
896	10931	13441
897	10945	13432
898	10958	13420
899	10972	13411
900	10981	13395
901	10995	13384
902	11004	13368
903	11013	13352
904	11025	13339
905	11034	13323
906	11043	13308
907	11051	13290
908	11058	13272
909	11063	13252
910	11070	13233
911	11082	13221
912	11092	13205
913	11102	13191
914	11114	13179
915	11123	13164
916	11132	13147
917	11138	13128
918	11145	13110
919	11152	13092
920	11163	13078
921	11177	13068
922	11191	13059
923	11201	13044
924	11214	13032
925	11228	13022
926	11242	13013
927	11257	13003
928	11271	12994
929	11281	12979
930	11295	12969
931	11303	12953
932	11315	12940
933	11324	12924
934	11330	12906
935	11337	12887
936	11346	12871
937	11353	12854
938	11362	12838
939	11370	12821
940	11378	12805
941	11386	12788
942	11398	12776
943	11406	12760
944	11420	12750
945	11435	12740
946	11449	12731
947	11460	12717
948	11469	12702
949	11477	12686
950	11486	12669
951	11499	12659
952	11507	12642
953	11517	12628
954	11525	12611
955	11533	12595
956	11547	12584
957	11561	12575
958	11573	12563
959	11583	12548
960	11593	12534
961	11600	12517
962	11608	12500
963	11623	12491
964	11637	12481
965	11648	12468
966	11659	12454
967	11673	12444
968	11683	12430
969	11690	12413
970	11699	12398
971	11706	12380
972	11713	12363
973	11719	12345
974	11733	12335
975	11743	12321
976	11751	12305
977	11764	12293
978	11779	12285
979	11793	12274
980	11802	12260
981	11811	12243
982	11825	12234
983	11839	12224
984	11848	12209
985	11862	12199
986	11876	12188
987	11890	12179
988	11903	12167
989	11912	12153
990	11921	12137
991	11934	12126
992	11944	12112
993	11957	12102
994	11972	12093
995	11986	12082
996	12001	12073
997	12010	12058
998	12022	12046
999	12036	12036
1000	12050	12026
1001	12065	12016
1002	12079	12007
1003	12093	11997
1004	12103	11983
1005	12113	11968
1006	12122	11953
1007	12133	11940
1008	12147	11930
1009	12158	11917
1010	12166	11901
1011	12176	11887
1012	12183	11871
1013	12193	11856
1014	12205	11845
1015	12219	11834
1016	12228	11820
1017	12242	11809
1018	12252	11795
1019	12260	11779
1020	12273	11768
1021	12287	11758
1022	12302	11749
1023	12310	11733
1024	12323	11722
1025	12338	11712
1026	12352	11702
1027	12367	11693
1028	12381	11683
1029	12396	11674
1030	12406	11660
1031	12416	11646
1032	12424	11631
1033	12434	11616
1034	12441	11599
1035	12448	11582
1036	12456	11567
1037	12464	11551
1038	12471	11535
1039	12478	11518
1040	12492	11508
1041	12505	11496
1042	12514	11482
1043	12522	11467
1044	12530	11451
1045	12542	11439
1046	12557	11429
1047	12571	11419
1048	12585	11409
1049	12596	11396
1050	12603	11380
1051	12611	11364
1052	12622	11351
1053	12636	11342
1054	12648	11329
1055	12661	11318
1056	12670	11304
1057	12683	11292
1058	12697	11282
1059	12711	11272
1060	12724	11261
1061	12735	11248
1062	12748	11237
1063	12762	11227
1064	12776	11216
1065	12791	11207
1066	12800	11192
1067	12808	11177
1068	12816	11161
1069	12828	11150
1070	12843	11140
1071	12857	11130
1072	12871	11119
1073	12885	11109
1074	12895	11096
1075	12903	11080
1076	12913	11066
1077	12924	11054
1078	12938	11044
1079	12952	11033
1080	12967	11023
1081	12981	11013
1082	12995	11003
1083	13005	10989
1084	13012	10974
1085	13020	10958
1086	13030	10944
1087	13044	10934
1088	13058	10924
1089	13068	10910
1090	13076	10895
1091	13085	10880
1092	13094	10866
1093	13102	10850
1094	13110	10835
1095	13123	10824
1096	13136	10813
1097	13146	10799
1098	13160	10789
1099	13175	10779
1100	13189	10769
1101	13204	10759
1102	13212	10745
1103	13224	10732
1104	13239	10723
1105	13253	10713
1106	13268	10703
1107	13282	10693
1108	13297	10683
1109	13311	10673
1110	13320	10659
1111	13334	10648
1112	13349	10638
1113	13364	10629
1114	13378	10618
1115	13392	10608
1116	13407	10598
1117	13415	10583
1118	13428	10572
1119	13442	10562
1120	13456	10551
1121	13471	10541
1122	13485	10531
1123	13499	10521
1124	13509	10507
1125	13518	10492
1126	13526	10477
1127	13534	10462
1128	13549	10452
1129	13563	10442
1130	13572	10428
1131	13586	10417
1132	13600	10407
1133	13611	10394
1134	13620	10380
1135	13633	10369
1136	13644	10356
1137	13653	10342
1138	13666	10330
1139	13681	10321
1140	13696	10311
1141	13710	10300
1142	13723	10289
1143	13738	10279
1144	13752	10269
1145	13762	10255
1146	13776	10245
1147	13791	10235
1148	13800	10221
1149	13809	10207
1150	13817	10191
1151	13827	10178
1152	13837	10164
1153	13844	10149
1154	13852	10134
1155	13860	10119
1156	13868	10104
1157	13875	10089
1158	13886	10076
1159	13900	10066
1160	13913	10054
1161	13926	10043
1162	13941	10033
1163	13951	10019
1164	13960	10006
1165	13974	9995
1166	13985	9983
1167	13993	9968
1168	14007	9957
1169	14015	9942
1170	14027	9930
1171	14043	9921
1172	14057	9911
1173	14072	9900
1174	14086	9890
1175	14101	9880
1176	14115	9870
1177	14124	9856
1178	14138	9845
1179	14153	9835
1180	14167	9824
1181	14182	9814
1182	14196	9804
1183	14210	9793
1184	14220	9780
1185	14233	9769
1186	14248	9758
1187	14262	9748
1188	14276	9737
1189	14290	9727
1190	14299	9713
1191	14312	9701
1192	14321	9687
1193	14329	9673
1194	14337	9658
1195	14344	9642
1196	14358	9632
1197	14371	9621
1198	14385	9610
1199	14400	9600
1200	14409	9586
1201	14419	9573
1202	14433	9562
1203	14447	9551
1204	14457	9538
1205	14470	9527
1206	14485	9516
1207	14498	9505
1208	14512	9495
1209	14521	9480
1210	14533	9468
1211	14547	9458
1212	14561	9447
1213	14575	9436
1214	14585	9423
1215	14592	9408
1216	14605	9396
1217	14615	9383
1218	14623	9369
1219	14638	9358
1220	14647	9344
1221	14660	9333
1222	14675	9323
1223	14689	9313
1224	14703	9302
1225	14717	9291
1226	14725	9277
1227	14739	9266
1228	14749	9252
1229	14757	9238
1230	14765	9224
1231	14772	9208
1232	14778	9192
1233	14785	9177
1234	14794	9164
1235	14804	9150
1236	14817	9139
1237	14831	9129
1238	14846	9118
1239	14860	9107
1240	14869	9094
1241	14878	9080
1242	14891	9069
1243	14905	9058
1244	14915	9045
1245	14928	9033
1246	14943	9023
1247	14957	9012
1248	14972	9002
1249	14985	8991
1250	14994	8977
1251	15008	8966
1252	15019	8954
1253	15032	8942
1254	15042	8929
1255	15056	8918
1256	15070	8908
1257	15085	8897
1258	15099	8886
1259	15108	8873
1260	15118	8859
1261	15127	8846
1262	15137	8833
1263	15151	8822
1264	15166	8811
1265	15173	8797
1266	15184	8784
1267	15197	8773
1268	15212	8762
1269	15221	8749
1270	15229	8735
1271	15237	8720
1272	15247	8707
1273	15259	8695
1274	15272	8684
1275	15281	8670
1276	15288	8656
1277	15296	8641
1278	15309	8630
1279	15319	8617
1280	15333	8606
1281	15342	8592
1282	15356	8581
